date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:53:29	14739/14739	---M--	200	added ('OK')	image/jpeg	etag:%2282180565-1768078367;;;%22	https://www.sabourg.com/wp-content/uploads/2025/10/Immagine-WhatsApp-2025-10-01-ore-15.27.34_a0e006ec-390x220.jpg	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/uploads/2025/10/Immagine-WhatsApp-2025-10-01-ore-15.27.34_a0e006ec-390x220.jpg	(from https://www.sabourg.com/)
22:53:29	75281/75281	---MCZ	200	added ('OK')	text/html	etag:%223029-1767486331;gz%22	https://www.sabourg.com/2025/10/28/fete-de-saint-martin-de-tour/	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/2025/10/28/fete-de-saint-martin-de-tour/index.html	(from https://www.sabourg.com/)
22:53:29	16925/16925	---M--	200	added ('OK')	image/jpeg	etag:%2282180566-1768078367;;;%22	https://www.sabourg.com/wp-content/uploads/2024/06/Immagine-WhatsApp-2024-06-27-ore-20.09.18_9fef06c6-1-390x220.jpg	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/uploads/2024/06/Immagine-WhatsApp-2024-06-27-ore-20.09.18_9fef06c6-1-390x220.jpg	(from https://www.sabourg.com/)
22:53:29	109706/109706	---M--	200	added ('OK')	image/png	etag:%2282180569-1768078367;;;%22	https://www.sabourg.com/wp-content/uploads/2023/11/video5-390x220.png	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/uploads/2023/11/video5-390x220.png	(from https://www.sabourg.com/)
22:53:30	144504/144504	---M--	200	added ('OK')	image/png	etag:%2282180567-1768078367;;;%22	https://www.sabourg.com/wp-content/uploads/2023/10/video-6-390x220.png	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/uploads/2023/10/video-6-390x220.png	(from https://www.sabourg.com/)
22:53:30	139064/139064	---M--	200	added ('OK')	image/png	etag:%2282180570-1768078367;;;%22	https://www.sabourg.com/wp-content/uploads/2025/03/video-7-390x220.png	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/uploads/2025/03/video-7-390x220.png	(from https://www.sabourg.com/)
22:53:30	80011/80011	---MCZ	200	added ('OK')	text/html	etag:%223300-1767640062;gz%22	https://www.sabourg.com/2025/10/02/fete-de-saint-michel-archange/	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/2025/10/02/fete-de-saint-michel-archange/index.html	(from https://www.sabourg.com/)
22:53:30	100169/100169	---M--	200	added ('OK')	image/png	etag:%2282180571-1768078367;;;%22	https://www.sabourg.com/wp-content/uploads/2025/03/video-8-390x220.png	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/uploads/2025/03/video-8-390x220.png	(from https://www.sabourg.com/)
22:53:30	21423/21423	---M--	200	added ('OK')	image/jpeg	etag:%2282180568-1768078367;;;%22	https://www.sabourg.com/wp-content/uploads/2025/10/Immagine-WhatsApp-2025-10-01-ore-18.52.10_f5b4ef04-390x220.jpg	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/uploads/2025/10/Immagine-WhatsApp-2025-10-01-ore-18.52.10_f5b4ef04-390x220.jpg	(from https://www.sabourg.com/)
22:53:31	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2010%20Jan%202026%2020:53:35%20GMT	http://connect.facebook.net/fr_FR/sdk.js	C:/My%20Web%20Sites/https___www.sabourg.com_/connect.facebook.net/fr_FR/sdk.2e.delayed	(from https://www.sabourg.com/)
22:53:31	77966/77966	---M-Z	200	added ('OK')	text/html	etag:%224037-1767782543;gz%22	https://www.sabourg.com/2025/10/01/sofferenza-e-liberazione-en-avant-premiere-a-monaco/	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/2025/10/01/sofferenza-e-liberazione-en-avant-premiere-a-monaco/index.html	(from https://www.sabourg.com/)
22:53:31	77419/77419	---M-Z	200	added ('OK')	text/html	etag:%223355-1767647029;gz%22	https://www.sabourg.com/2025/07/26/fete-en-lhonneur-de-sainte-marie-de-magdala/	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/2025/07/26/fete-en-lhonneur-de-sainte-marie-de-magdala/index.html	(from https://www.sabourg.com/)
22:53:32	92179/92179	---MCZ	200	added ('OK')	text/html	etag:%223301-1767640117;gz%22	https://www.sabourg.com/2025/06/06/de-la-chine-technologie-et-spiritualite/	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/2025/06/06/de-la-chine-technologie-et-spiritualite/index.html	(from https://www.sabourg.com/)
22:53:32	73539/73539	---M-Z	200	added ('OK')	text/html	etag:%224289-1768035850;gz%22	https://www.sabourg.com/2025/05/22/au-gabon-pour-donner-dignite-et-avenir-aux-jeunes/	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/2025/05/22/au-gabon-pour-donner-dignite-et-avenir-aux-jeunes/index.html	(from https://www.sabourg.com/)
22:53:32	3070/3070	---M-Z	200	added ('OK')	application/x-javascript	etag:%224e59fa8573ada0365f6abdd6b3bb3de4%22	https://connect.facebook.net/fr_FR/sdk.js	C:/My%20Web%20Sites/https___www.sabourg.com_/connect.facebook.net/fr_FR/sdk.js	(from https://www.sabourg.com/)
22:53:32	23655/23655	---MCZ	200	added ('OK')	application/javascript	etag:%2282180548-1768078367;gz%22	https://www.sabourg.com/wp-content/themes/jannah/assets/js/scripts.min.js?ver=7.5.1	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/themes/jannah/assets/js/scripts.min8c10.js	(from https://www.sabourg.com/)
22:53:32	81012/81012	---M-Z	200	added ('OK')	text/html	etag:%223944-1767729011;gz%22	https://www.sabourg.com/category/diplomatie/	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/category/diplomatie/index.html	(from https://www.sabourg.com/)
22:53:32	81480/81480	---MCZ	200	added ('OK')	application/javascript	etag:%2282180558-1768078367;gz%22	https://www.sabourg.com/wp-content/themes/jannah/assets/ilightbox/lightbox.js?ver=7.5.1	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/themes/jannah/assets/ilightbox/lightbox8c10.js	(from https://www.sabourg.com/)
22:53:32	48885/48885	---MCZ	200	added ('OK')	application/javascript	etag:%2282180559-1768078367;gz%22	https://www.sabourg.com/wp-content/themes/jannah/assets/js/sliders.min.js?ver=7.5.1	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/themes/jannah/assets/js/sliders.min8c10.js	(from https://www.sabourg.com/)
22:53:33	11184/11184	---MCZ	200	added ('OK')	application/javascript	etag:%2282180549-1768078367;gz%22	https://www.sabourg.com/wp-content/themes/jannah/assets/js/shortcodes.js?ver=7.5.1	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/themes/jannah/assets/js/shortcodes8c10.js	(from https://www.sabourg.com/)
22:53:33	40430/40430	---MCZ	200	added ('OK')	application/javascript	etag:%2282180557-1768078367;gz%22	https://www.sabourg.com/wp-content/plugins/complianz-gdpr/cookiebanner/js/complianz.min.js?ver=1743060918	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/plugins/complianz-gdpr/cookiebanner/js/complianz.min64c6.js	(from https://www.sabourg.com/)
22:53:33	87063/87063	---MCZ	200	added ('OK')	text/html	etag:%223246-1767612142;gz%22	https://www.sabourg.com/2025/05/21/consentement-des-etats-dafrique-centrale-a-sabourg/	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/2025/05/21/consentement-des-etats-dafrique-centrale-a-sabourg/index.html	(from https://www.sabourg.com/)
22:53:33	5594/5594	---MCZ	200	added ('OK')	application/javascript	etag:%2282180551-1768078367;gz%22	https://www.sabourg.com/wp-content/themes/jannah/assets/js/br-news.js?ver=7.5.1	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/themes/jannah/assets/js/br-news8c10.js	(from https://www.sabourg.com/)
22:53:33	79238/79238	---M-Z	200	added ('OK')	text/html	etag:%223356-1767647030;gz%22	https://www.sabourg.com/2025/05/20/a-leon-xiv-le-saint-esprit-inspira-le-premier-appel-au-peuple/	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/2025/05/20/a-leon-xiv-le-saint-esprit-inspira-le-premier-appel-au-peuple/index.html	(from https://www.sabourg.com/)
22:53:34	2208/2208	---M-Z	200	added ('OK')	application/json	etag:%224509-1768078418;gz%22	https://www.sabourg.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.sabourg.com%2Fit%2Fhome-italiano%2F	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-json/oembed/1.0/embedd97b.json	(from https://www.sabourg.com/it/home-italiano/)
22:53:34	77246/77246	---MCZ	200	added ('OK')	text/html	etag:%223950-1767731716;gz%22	https://www.sabourg.com/2025/05/06/le-prince-abbe-giovanni-luca-present-a-la-ceremonie-dinvestiture-du-nouveau-president-elu-du-gabon-brice-clotaire-oligui-nguema/	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/2025/05/06/le-prince-abbe-giovanni-luca-present-a-la-ceremonie-dinvestiture-du-nouveau-president-elu-du-gabon-brice-clotaire-oligui-nguema/index.html	(from https://www.sabourg.com/)
22:53:34	77118/77118	---MCZ	200	added ('OK')	text/html	etag:%223925-1767719800;gz%22	https://www.sabourg.com/2025/04/22/papa-francis-a-laisse-un-signe-indelible-de-paix-de-justice-et-de-misericordie/	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/2025/04/22/papa-francis-a-laisse-un-signe-indelible-de-paix-de-justice-et-de-misericordie/index.html	(from https://www.sabourg.com/)
